date,actual_sales,predicted_sales,error,absolute_error,percentage_error
2016-09-12,678776.4591265,692319.2048030606,-13542.745676560677,13542.745676560677,1.995170205812454
2016-09-13,603427.946974,647169.3151166546,-43741.368142654654,43741.368142654654,7.2488137750337485
2016-09-14,624262.071976,668808.7123069135,-44546.64033091348,44546.64033091348,7.135887687347132
2016-09-15,568324.812986,552039.5403026987,16285.272683301242,16285.272683301242,2.8654868327388003
2016-09-16,691912.601466,679517.2519529047,12395.349513095221,12395.349513095221,1.791461737628769
2016-09-17,899219.297508,902477.5136914189,-3258.2161834188737,3258.2161834188737,0.3623383297543041
2016-09-18,1018662.657394,1011872.3999388793,6790.257455120678,6790.257455120678,0.6665854889087518
2016-09-19,681159.341976,693933.417282486,-12774.07530648599,12774.07530648599,1.8753431861375058
2016-09-20,650980.3219717001,641697.2103638926,9283.111607807456,9283.111607807456,1.426020310366773
2016-09-21,666928.400013,678743.1593222808,-11814.75930928078,11814.75930928078,1.7715183982344258
2016-09-22,533276.332017,568758.9019763093,-35482.5699593093,35482.5699593093,6.653692997231719
2016-09-23,663685.9846653,635856.2143267422,27829.770338557777,27829.770338557777,4.193213504816207
2016-09-24,861830.389997,869871.7346290404,-8041.34463204036,8041.34463204036,0.9330541978298481
2016-09-25,952352.5509251,1003618.6875412758,-51266.13661617576,51266.13661617576,5.383104877114747
2016-09-26,664217.4402937,693706.0931156864,-29488.65282198647,29488.65282198647,4.439608332016597
2016-09-27,587908.3278165,630755.2485311548,-42846.92071465484,42846.92071465484,7.2880275184719565
2016-09-28,631761.1750463,621078.5453429305,10682.629703369574,10682.629703369574,1.6909284909106155
2016-09-29,520744.9210333,548195.5948936727,-27450.673860372743,27450.673860372743,5.271424213970847
2016-09-30,703198.490806,626185.7727348151,77012.71807118482,77012.71807118482,10.951775221092058
2016-10-01,1175033.65823,925498.3547532379,249535.30347676203,249535.30347676203,21.236438780200306
2016-10-02,1256480.1709663,1220283.9497833387,36196.22118296125,36196.22118296125,2.8807634230410843
2016-10-03,833060.55889,861491.6711703454,-28431.112280345405,28431.112280345405,3.41285059974848
2016-10-04,724113.096039,752420.8242761971,-28307.728237197152,28307.728237197152,3.9092965438747607
2016-10-05,749712.3000211,733825.6978531905,15886.6021679095,15886.6021679095,2.119026480886386
2016-10-06,581429.340158,626901.988451695,-45472.64829369495,45472.64829369495,7.820838260645399
2016-10-07,797612.239327,697331.8660157402,100280.37331125978,100280.37331125978,12.572572030222757
2016-10-08,932551.706831,929122.6408031723,3429.0660278277937,3429.0660278277937,0.36770787107134856
2016-10-09,1088251.479908,1021118.2193287961,67133.26057920384,67133.26057920384,6.168910570641193
2016-10-10,725312.8469015,664929.2307853099,60383.6161161901,60383.6161161901,8.325182212633605
2016-10-11,625271.993952,647107.050898711,-21835.056946710916,21835.056946710916,3.492089387964355
2016-10-12,665126.077693,674084.1389548891,-8958.061261889176,8958.061261889176,1.3468215368972374
2016-10-13,558859.8909975,567993.3661132691,-9133.475115769077,9133.475115769077,1.634304995383885
2016-10-14,667954.207226,701264.7564978193,-33310.5492718193,33310.5492718193,4.9869510381792965
2016-10-15,890613.591114,892211.4391088862,-1597.8479948862223,1597.8479948862223,0.17940979239802496
2016-10-16,1104504.6882152,1004036.3421135447,100468.34610165539,100468.34610165539,9.096235368996485
2016-10-17,710456.4240015,773138.3110253796,-62681.887023879564,62681.887023879564,8.822763072622624
2016-10-18,630638.592023,646858.8326995231,-16220.24067652307,16220.24067652307,2.5720342652185013
2016-10-19,647823.468973,682515.2939964838,-34691.825023483834,34691.825023483834,5.355135570880302
2016-10-20,583001.280078,541181.8823325728,41819.39774542721,41819.39774542721,7.173122799976044
2016-10-21,669453.5420583,673191.1339484261,-3737.5918901261175,3737.5918901261175,0.5583048942626442
2016-10-22,843626.415914,877750.3721303039,-34123.956216303864,34123.956216303864,4.044913195295498
2016-10-23,1022953.689959,985557.6417616872,37396.048197312746,37396.048197312746,3.6556931720742494
2016-10-24,668507.6451983,691953.9232966243,-23446.278098324314,23446.278098324314,3.5072565387594663
2016-10-25,610590.8979547,635898.7240093828,-25307.826054682722,25307.826054682722,4.144808928442349
2016-10-26,633413.8905697,660447.9000072082,-27034.009437508183,27034.009437508183,4.267984936862289
2016-10-27,544361.4798829,549264.2842391148,-4902.804356214823,4902.804356214823,0.9006523307397664
2016-10-28,638838.252231,670549.5882264004,-31711.33599540044,31711.33599540044,4.963906886391928
2016-10-29,841074.6969995,876471.9307772857,-35397.233777785674,35397.233777785674,4.208571950156612
2016-10-30,954838.191008,987390.1956287756,-32552.00462077558,32552.00462077558,3.409164497956581
2016-10-31,654923.5029715,812287.490354727,-157363.98738322698,157363.98738322698,24.02784243797018
2016-11-01,811832.445984,750654.3732272335,61178.07275676646,61178.07275676646,7.535800405539862
2016-11-02,969033.618953,818495.2701146039,150538.34883839614,150538.34883839614,15.534894341544772
2016-11-03,793811.6841115,658313.0278508125,135498.6562606875,135498.6562606875,17.06937035228309
2016-11-04,858468.216477,759952.0874750991,98516.1290019009,98516.1290019009,11.475803892448514
2016-11-05,887751.298669,1039353.1270532296,-151601.82838422956,151601.82838422956,17.07706072765258
2016-11-06,1140367.104134,1023923.3090100941,116443.79512390576,116443.79512390576,10.211079809456072
2016-11-07,849451.0429045,788649.5794660674,60801.463438432664,60801.463438432664,7.157736039800036
2016-11-08,767439.628434,734466.0769298678,32973.551504132105,32973.551504132105,4.296566176992493
2016-11-09,790276.839009,777863.7033969882,12413.13561201177,12413.13561201177,1.5707325584256941
2016-11-10,588241.7590247,676299.9703530094,-88058.21132830938,88058.21132830938,14.969731403344971
2016-11-11,713396.4541223,689274.4245336166,24122.029588683392,24122.029588683392,3.381293732159211
2016-11-12,929802.771943,889649.7960068262,40152.97593617381,40152.97593617381,4.31844011953917
2016-11-13,1188982.232398,1050377.8586440415,138604.3737539586,138604.3737539586,11.657396551201126
2016-11-14,735723.172977,1002315.6145185473,-266592.4415415473,266592.4415415473,36.23542812479572
2016-11-15,691801.6290437999,671355.9053747139,20445.723669086,20445.723669086,2.955431558804775
2016-11-16,830431.7415873,719580.3505718779,110851.39101542206,110851.39101542206,13.348645706092475
2016-11-17,615228.2560159,721792.2822493899,-106564.02623348986,106564.02623348986,17.321055265500647
2016-11-18,738265.552222,710276.7687192014,27988.783502798527,27988.783502798527,3.791153930798896
2016-11-19,935656.0010137,906766.5891524936,28889.411861206405,28889.411861206405,3.087610385644649
2016-11-20,1125178.987911,1026801.1148060773,98377.87310492259,98377.87310492259,8.743308767929475
2016-11-21,773762.280859,815340.6415851186,-41578.36072611855,41578.36072611855,5.37353160714424
2016-11-22,690281.251004,753393.9930632216,-63112.74205922161,63112.74205922161,9.143047412547482
2016-11-23,753685.041456,692590.2348339296,61094.80662207038,61094.80662207038,8.106145572963063
2016-11-24,595457.3062203,661317.1316555178,-65859.82543521782,65859.82543521782,11.060377418704777
2016-11-25,737819.484836,670874.3928866751,66945.09194932494,66945.09194932494,9.073370021422686
2016-11-26,908066.823384,920563.7369561973,-12496.913572197314,12496.913572197314,1.376210786517488
2016-11-27,1056721.5920875,1029124.6800165008,27596.91207099927,27596.91207099927,2.6115594000954374
2016-11-28,752583.7680527,729332.9418667346,23250.82618596533,23250.82618596533,3.089466870395905
2016-11-29,645760.5082353,774039.0505568123,-128278.54232151236,128278.54232151236,19.86472394728274
2016-11-30,767361.704324,672988.4141233091,94373.29020069097,94373.29020069097,12.298410211104843
2016-12-01,843603.315088,730309.5977141451,113293.71737385495,113293.71737385495,13.429738284283149
2016-12-02,853454.930795,819841.2593228177,33613.67147218238,33613.67147218238,3.9385408952844156
2016-12-03,1113440.567059,1065863.4787965515,47577.08826244855,47577.08826244855,4.272979597655301
2016-12-04,1276195.0362097,1176367.273052222,99827.76315747784,99827.76315747784,7.822296774791286
2016-12-05,896824.938971,1028395.3662668031,-131570.4272958031,131570.4272958031,14.67069230331223
2016-12-06,932546.385931,754111.6524423972,178434.7334886028,178434.7334886028,19.134140261608966
2016-12-07,867653.7351403,773059.2322863303,94594.5028539697,94594.5028539697,10.902333387485932
2016-12-08,674077.382905,714296.2749659372,-40218.89206093724,40218.89206093724,5.966509644280029
2016-12-09,774941.923982,739152.207286103,35789.71669589693,35789.71669589693,4.6183740469212555
2016-12-10,920050.745917,879690.301766251,40360.44415074901,40360.44415074901,4.386762831274312
2016-12-11,1119324.243986,1044311.7034235953,75012.54056240479,75012.54056240479,6.701591693866947
2016-12-12,844251.703802,800311.6489453976,43940.05485660245,43940.05485660245,5.204615478858138
2016-12-13,747161.615593,771075.5326364931,-23913.91704349313,23913.91704349313,3.2006351162075375
2016-12-14,829763.2190675,785376.7390781961,44386.47998930386,44386.47998930386,5.349294710747246
2016-12-15,747641.1828753001,774681.1733398058,-27039.99046450574,27039.99046450574,3.6167069289193736
2016-12-16,918899.786306,785201.7125696113,133698.0737363887,133698.0737363887,14.549799197783939
